job_id,job_title,company_name,location,industry,experience_level,years_of_exp,education,employment_type,remote_work,salary_usd,salary_band,skills,company_rating,applications,hiring_status,job_posted_date,post_month,post_year,benefits
JOB1358,Cybersecurity Analyst,Wipro,"Berlin, Germany",E-Commerce/Retail,Director,10,Associate's,Internship,On-Site,99606,$80K–$120K,"Unix, Java, Linux, Docker, Deep Learning, Data Pipeline, React, Kubernetes",3.7,500,Open,2025-03-27,2025-03,2025,Unknown
JOB4851,Cloud Architect,Accenture,"Austin, TX",Automotive,Entry Level,11,Bachelor's,Internship,On-Site,332654,$180K+,,3.8,500,On Hold,2025-03-07,2025-03,2025,"401k, Health"
Unknown,Cloud Architect,Accenture,"Chicago, IL",Technology,Entry Level,13,PhD,Freelance,Hybrid,192533,$180K+,"R Programming, Statistics, Nodejs, Data Pipeline, Statistical Analysis, Python, Deep Learning, Java",3.7,500,Closed,2025-03-21,2025-03,2025,"401k, Health"
JOB2493,Data Engineer,Netflix,"New York, NY",Finance,Director,11,Bachelor's,Unknown,Remote,126507,$120K–$180K,"Ms Excel, Javascript, Tensorflow, Unix, Nodejs, Statistics, Microsoft Excel",4.3,500,Open,2025-03-06,2025-03,2025,"PTO, Remote"
JOB8223,Product Manager,Apple,"Bangalore, India",Telecommunications,Manager,11,Bachelor's,Full-Time,On-Site,129681,$120K–$180K,"Linux, Powerbi, Node, Git",3.0,500,Unknown,2025-07-14,2025-07,2025,"Stock Options, Health"
JOB4404,Frontend Developer,Microsoft,"New York, NY",Unknown,Director,10,Master's,Freelance,Remote,90600,$80K–$120K,,3.7,997,Unknown,2024-04-03,2024-04,2024,"PTO, Remote"
JOB4942,Full Stack Developer,Oracle,"Chicago, IL",Healthcare,Mid Level,11,Unknown,Full-Time,Hybrid,132424,$120K–$180K,"Azure, Data Pipeline, Docker, Pytorch, Github, Communication, Python",3.7,621,Closed,2025-04-01,2025-04,2025,Health+Dental
JOB7240,ML Engineer,Amazon,"Toronto, Canada",Technology,Executive,13,PhD,Full-Time,On-Site,252554,$180K+,"Etl, Docker, Tensorflow, Agile, Spark, Kubernetes",3.7,100,Open,2025-01-07,2025-01,2025,"Health, 401k, Stock"
JOB3323,ML Engineer,IBM,Unknown,Technology,Senior,21,PhD,Unknown,Hybrid,139214,$120K–$180K,,4.5,777,Closed,2025-10-11,2025-10,2025,Unknown
JOB3241,Frontend Developer,Apple,"Seattle, WA",Technology,Entry Level,13,High School,Freelance,Remote,87585,$80K–$120K,"Node, Scrum, Powerbi, R",1.9,500,Closed,2025-07-10,2025-07,2025,Health+Dental
JOB7849,Software Engineer,Airbnb,"Toronto, Canada",Finance,Director,10,Bachelor's,Unknown,On-Site,113289,$80K–$120K,"Kubernetes, Data Pipeline, Docker, Java, React, Deep Learning, Tensorflow",2.2,500,Closed,2025-08-11,2025-08,2025,Unknown
JOB9941,Data Scientist,Wipro,Remote,Technology,Mid Level,11,PhD,Contract,Remote,167545,$120K–$180K,"Agile, Statistics",3.8,500,On Hold,2025-10-26,2025-10,2025,"401k, Health"
JOB5412,Full Stack Developer,Unknown,"Seattle, WA",Technology,Lead/Principal,14,Unknown,Contract,Remote,170216,$120K–$180K,"Pytorch, Javascript, Gcp, Linux, Unix, Python, Statistical Analysis",4.5,1169,Open,2025-11-09,2025-11,2025,Health+Dental
JOB9809,Software Engineer,Apple,"Hyderabad, India",Technology,Unknown,15,PhD,Full-Time,On-Site,113289,$80K–$120K,"Pytorch, Docker",1.4,500,Closed,2025-05-07,2025-05,2025,Unknown
JOB2491,Backend Developer,Unknown,Remote,Unknown,Manager,11,Bachelor's,Contract,Unknown,47240,< $50K,"Docker, Azure",3.7,500,Closed,2025-05-20,2025-05,2025,Health+Dental
JOB8435,Cloud Architect,Netflix,"London, UK",Finance,Mid Level,11,Bachelor's,Internship,Hybrid,426259,$180K+,"Reactjs, Kubernetes, Stats, Unix, Java, Pytorch, Node.Js, Git",3.7,500,Closed,2025-09-03,2025-09,2025,Unknown
JOB8504,AI Engineer,Amazon,"Chicago, IL",Consulting,Executive,13,Bootcamp,Full-Time,Remote,275316,$180K+,"Sql, React, R Programming",3.6,127,On Hold,2025-10-23,2025-10,2025,"Health, Dental, Vision"
JOB5734,Machine Learning Engineer,Google,"San Francisco, CA",Technology,Mid Level,9,Bachelor's,Freelance,Hybrid,218586,$180K+,,4.5,500,Unknown,2025-10-15,2025-10,2025,"401k, Health"
JOB1902,Unknown,Meta,"Seattle, WA",Finance,Executive,18,Bootcamp,Contract,Unknown,70932,$50K–$80K,"Sql Server, Linux",4.2,100,Closed,2024-05-16,2024-05,2024,"Stock Options, Health"
JOB4796,Unknown,Unknown,"New York, NY",Automotive,Lead/Principal,24,Unknown,Contract,Unknown,62887,$50K–$80K,"Git, Node.Js, Linux, Spark, Python, Etl, Statistical Analysis",3.7,500,Closed,2024-12-26,2024-12,2024,Unknown
JOB1292,Data Scientist,Oracle,"New York, NY",Technology,Mid Level,11,Master's,Part-Time,Remote,152498,$120K–$180K,"Github, Data Pipeline, Javascript",4.2,1359,Closed,2025-09-03,2025-09,2025,"401k, Health"
Unknown,Data Engineer,Salesforce,Unknown,Telecommunications,Unknown,12,Bootcamp,Freelance,On-Site,53207,$50K–$80K,"Github, Agile, Docker, Power Bi, Azure, Nodejs",2.9,944,Closed,2025-04-25,2025-04,2025,Unknown
JOB4360,ML Engineer,Uber,"Toronto, Canada",Technology,Mid Level,19,Master's,Unknown,On-Site,47094,< $50K,"Nodejs, Sql, Communication, Tensorflow, Power Bi, Excel",4.2,500,Unknown,2025-07-04,2025-07,2025,Unknown
JOB1284,Cloud Architect,Amazon,Remote,Healthcare,Senior,12,PhD,Unknown,Remote,30465,< $50K,"Tableau, Powerbi, Scrum, Sql, Nodejs, Python",4.5,500,Unknown,2025-01-01,2025-01,2025,Unknown
JOB1041,DevOps Engineer,Uber,Unknown,Technology,Manager,11,High School,Freelance,Hybrid,81363000,$180K+,"R, Js, Node.Js, Python",3.7,100,Closed,2025-07-18,2025-07,2025,"401k, Health"
JOB1776,BI Analyst,Netflix,"New York, NY",Consulting,Unknown,12,Associate's,Contract,Hybrid,297396,$180K+,"Apache Spark, Tableau, Powerbi, Excel, Ms Excel",2.1,100,Open,2025-11-26,2025-11,2025,Unknown
JOB7721,Frontend Developer,Microsoft,"London, UK",Technology,Senior,12,PhD,Freelance,Remote,87585,$80K–$120K,"Kubernetes, Aws, Scrum",4.6,500,Closed,2024-04-06,2024-04,2024,Unknown
JOB5050,Unknown,Wipro,"Boston, MA",E-Commerce/Retail,Senior,12,Unknown,Part-Time,On-Site,135473,$120K–$180K,"Tensorflow, Git, Gcp, Tableau, Excel, Communication",3.6,500,Open,2025-07-06,2025-07,2025,"401k, Health"
JOB1330,Backend Developer,Microsoft,"Toronto, Canada",Technology,Mid Level,14,PhD,Full-Time,Remote,481646,$180K+,,3.7,1102,Closed,2024-07-11,2024-07,2024,Unknown
JOB6061,Machine Learning Engineer,Airbnb,Unknown,Technology,Executive,18,PhD,Freelance,Remote,105823,$80K–$120K,"K8S, Linux, Statistics, Microsoft Excel",1.6,500,Open,2025-12-20,2025-12,2025,"PTO, Remote"
JOB9711,Cloud Architect,IBM,"Hyderabad, India",Unknown,Unknown,0,Bachelor's,Full-Time,Remote,126346,$120K–$180K,"R Programming, Git, R, Linux",3.7,500,Closed,2024-01-08,2024-01,2024,"401k, Health"
JOB8453,Data Analyst,Amazon,"Austin, TX",Media/Entertainment,Entry Level,16,Master's,Part-Time,Remote,33271000,$180K+,"Gcp, Google Cloud, Apache Spark, Data Pipeline, Java, Amazon Web Services, Javascript, Spark",3.5,500,Closed,2025-10-12,2025-10,2025,"401k, Health"
JOB2492,Full Stack Developer,TCS,"San Francisco, CA",Technology,Unknown,2,High School,Part-Time,Remote,170216,$120K–$180K,"Js, Spark, Agile",3.7,307,Closed,2025-09-10,2025-09,2025,Unknown
Unknown,Software Engineer,Uber,"Boston, MA",Finance,Director,6,Master's,Full-Time,Hybrid,113289,$80K–$120K,"Pytorch, Spark, Javascript, Nlp, Data Visualization, Statistics",3.7,500,Open,2025-06-27,2025-06,2025,Unknown
JOB3261,AI Engineer,Google,"New York, NY",Technology,Senior,21,Master's,Freelance,Remote,106560,$80K–$120K,,3.7,100,On Hold,2025-02-25,2025-02,2025,"401k, Health"
JOB5294,Data Scientist,Oracle,Unknown,Healthcare,Lead/Principal,12,Master's,Internship,Remote,374110,$180K+,,1.0,500,Unknown,2025-07-28,2025-07,2025,"Health, 401k, Stock"
JOB1779,Unknown,Netflix,Unknown,E-Commerce/Retail,Mid Level,11,PhD,Full-Time,Remote,59484,$50K–$80K,"R, Excel, Java, Etl, Amazon Web Services, Js, Collaboration",3.7,500,Unknown,2025-08-03,2025-08,2025,Unknown
Unknown,AI Engineer,Unknown,"Berlin, Germany",Unknown,Manager,0,High School,Contract,On-Site,183284,$180K+,Computer Vision,3.0,100,On Hold,2024-05-07,2024-05,2024,"401k, Health"
JOB3523,Cloud Architect,Salesforce,"San Francisco, CA",Technology,Mid Level,11,Bachelor's,Unknown,Hybrid,330743,$180K+,"Node.Js, Excel, Machine Learning, Tableau, Ml, React",3.7,500,Unknown,2025-02-04,2025-02,2025,"PTO, Remote"
JOB4930,Data Engineer,Microsoft,"Berlin, Germany",Gaming,Senior,11,Bachelor's,Internship,Remote,77400,$50K–$80K,"Spark, Communication, Power Bi, Deep Learning, Unix, Stats",3.7,500,Closed,2024-12-27,2024-12,2024,Unknown
JOB7765,Data Analyst,Infosys,"London, UK",Technology,Lead/Principal,12,PhD,Part-Time,Unknown,47046,< $50K,"Java, Linux, React, Powerbi, Microsoft Excel",3.7,500,Unknown,2024-09-07,2024-09,2024,"Stock Options, Health"
JOB4405,ML Engineer,Uber,"Toronto, Canada",Finance,Unknown,12,Bachelor's,Full-Time,Hybrid,139214,$120K–$180K,"Communication, Sql, Data Visualization, Linux, Nlp, Agile",3.7,500,Closed,2025-04-05,2025-04,2025,"Health, Dental, Vision"
Unknown,Data Scientist,Infosys,"Chicago, IL",Media/Entertainment,Manager,11,Unknown,Internship,On-Site,152498,$120K–$180K,"Python, Nlp, Linux",5.0,500,Closed,2025-06-22,2025-06,2025,Unknown
JOB6175,Cloud Architect,Uber,"New York, NY",Unknown,Manager,6,Master's,Freelance,On-Site,205403,$180K+,"Scrum, Python, Computer Vision, Linux, Pytorch, Java, Excel",3.7,915,Open,2025-05-19,2025-05,2025,"PTO, Remote"
JOB5551,DevOps Engineer,Airbnb,Remote,Finance,Lead/Principal,12,Unknown,Full-Time,Hybrid,141552,$120K–$180K,"Reactjs, Pytorch, Python, Node.Js, R",3.7,500,Unknown,2025-06-15,2025-06,2025,"PTO, Remote"
JOB6731,Data Analyst,Netflix,"Chicago, IL",Gaming,Executive,13,Master's,Unknown,On-Site,116564,$80K–$120K,"Machine Learning, Github",3.5,1336,Closed,2025-09-22,2025-09,2025,Unknown
JOB7474,Software Engineer,Infosys,"London, UK",Automotive,Manager,11,Unknown,Internship,Hybrid,113289,$80K–$120K,"Pytorch, Azure, Git",3.6,500,On Hold,2025-02-25,2025-02,2025,Unknown
JOB4100,DevOps Engineer,Apple,Remote,Gaming,Mid Level,16,Bachelor's,Contract,Hybrid,141552,$120K–$180K,"Js, Tableau, Spark, Excel",3.7,500,Open,2024-05-11,2024-05,2024,"401k, Health"
JOB5142,Data Scientist,Unknown,"Seattle, WA",Technology,Senior,18,Unknown,Contract,Hybrid,244580,$180K+,,3.0,100,Unknown,2024-06-07,2024-06,2024,Unknown
JOB7391,Software Engineer,Infosys,"Berlin, Germany",Consulting,Senior,12,PhD,Freelance,Remote,482054,$180K+,"Nlp, Sql Server, Java",3.7,500,Open,2024-06-02,2024-06,2024,Unknown
JOB5187,Data Analyst,IBM,"Chicago, IL",Healthcare,Senior,0,Bachelor's,Full-Time,On-Site,131990,$120K–$180K,"Kubernetes, Data Pipeline, Gcp, Agile",4.7,1163,Open,2024-05-21,2024-05,2024,"Health, 401k, Stock"
JOB5559,Data Analyst,Google,Remote,Technology,Mid Level,11,PhD,Internship,Unknown,59116,$50K–$80K,,1.0,500,Open,2025-03-10,2025-03,2025,"Health, 401k, Stock"
JOB2815,Data Engineer,Meta,"Seattle, WA",Unknown,Director,10,Master's,Part-Time,On-Site,126507,$120K–$180K,"Linux, Excel, Azure, Amazon Web Services, Agile",4.3,500,Closed,2025-05-24,2025-05,2025,"PTO, Remote"
JOB1449,Frontend Developer,Unknown,"London, UK",Technology,Senior,12,Master's,Contract,Hybrid,125942,$120K–$180K,"Dl, Nlp, Scrum",3.7,500,Closed,2025-01-01,2025-01,2025,"Stock Options, Health"
JOB8719,Data Scientist,Unknown,"Bangalore, India",Finance,Entry Level,13,Master's,Contract,Unknown,47444,< $50K,"K8S, Aws, Kubernetes, Pytorch",3.7,500,Unknown,2025-09-20,2025-09,2025,Unknown
Unknown,BI Analyst,Unknown,Remote,Technology,Mid Level,11,Bachelor's,Full-Time,Remote,119793,$80K–$120K,"Azure, Pytorch, Git, Data Pipeline, Powerbi, Github, Scrum, Ms Excel",3.1,668,Open,2025-06-21,2025-06,2025,Health+Dental
JOB3317,Data Engineer,Microsoft,"Austin, TX",Healthcare,Entry Level,13,Bachelor's,Unknown,Remote,126507,$120K–$180K,"Gcp, Spark, Deep Learning, R, Aws, Node.Js, Communication",3.7,500,Open,2024-01-06,2024-01,2024,"Health, 401k, Stock"
JOB6776,Backend Developer,Google,"Boston, MA",Technology,Executive,13,Master's,Unknown,On-Site,95812,$80K–$120K,"Sql, Dl",4.0,500,Open,2025-04-05,2025-04,2025,"Health, Dental, Vision"
JOB3285,Software Engineer,Oracle,"London, UK",E-Commerce/Retail,Entry Level,13,High School,Full-Time,On-Site,286683,$180K+,"Git, Gcp, Data Viz, Reactjs, Statistics",3.7,500,On Hold,2025-07-28,2025-07,2025,"Health, 401k, Stock"
Unknown,Full Stack Developer,Wipro,Unknown,Technology,Senior,12,Bootcamp,Part-Time,On-Site,170216,$120K–$180K,"Kubernetes, Data Visualization, Scrum, K8S, Stats, Data Viz, Dataviz",4.5,500,Open,2025-09-14,2025-09,2025,Unknown
JOB6860,Data Scientist,IBM,"Chicago, IL",Telecommunications,Unknown,12,Bachelor's,Full-Time,Hybrid,152498,$120K–$180K,"Computer Vision, Docker",3.7,657,Unknown,2025-01-14,2025-01,2025,Unknown
JOB3939,Unknown,Uber,"San Francisco, CA",Technology,Executive,23,Associate's,Part-Time,Unknown,109664,$80K–$120K,"Spark, Docker, Deep Learning, Nlp, Natural Language Processing, Tensorflow, Sql",3.7,1408,Unknown,2024-09-14,2024-09,2024,"Health, 401k, Stock"
Unknown,Cybersecurity Analyst,Netflix,"Hyderabad, India",Finance,Manager,11,Bachelor's,Internship,Remote,68486,$50K–$80K,"Nodejs, Js, K8S",2.0,500,Open,2024-12-08,2024-12,2024,"401k, Health"
Unknown,Product Manager,Amazon,"Bangalore, India",Unknown,Mid Level,11,PhD,Full-Time,On-Site,171287,$120K–$180K,"Git, Statistical Analysis, Ml, Github, Spark, Stats",3.7,1038,Open,2025-03-14,2025-03,2025,Unknown
Unknown,Unknown,Infosys,Remote,Technology,Executive,13,PhD,Internship,Remote,35909,< $50K,"Sql Server, Etl, Cv, Kubernetes, Gcp, Excel, Scrum, Communication",3.7,500,Closed,2024-01-01,2024-01,2024,Unknown
JOB3738,ML Engineer,Uber,"New York, NY",Technology,Unknown,12,High School,Full-Time,On-Site,139214,$120K–$180K,"Microsoft Excel, Dl, K8S, Data Visualization, Scrum",2.0,814,Open,2025-10-24,2025-10,2025,"Stock Options, Health"
JOB6882,Data Scientist,Salesforce,"Seattle, WA",Telecommunications,Director,5,Master's,Unknown,On-Site,152498,$120K–$180K,"Pytorch, Azure, Tableau, Reactjs",3.7,86,Closed,2025-08-19,2025-08,2025,"Stock Options, Health"
JOB6325,Software Engineer,Wipro,"London, UK",Unknown,Entry Level,13,Bachelor's,Unknown,Remote,308948,$180K+,"Power Bi, Dataviz, Agile",3.7,500,Open,2024-03-27,2024-03,2024,Unknown
JOB2838,Full Stack Developer,Salesforce,"Chicago, IL",Gaming,Executive,13,Bootcamp,Part-Time,Unknown,69090,$50K–$80K,"Java, Power Bi",3.7,100,Open,2025-07-18,2025-07,2025,Unknown
JOB4027,Software Engineer,Unknown,"Seattle, WA",Unknown,Lead/Principal,12,Master's,Unknown,Remote,38301,< $50K,"Deep Learning, Data Viz",3.7,500,Closed,2025-08-03,2025-08,2025,Health+Dental
JOB7765,DevOps Engineer,Meta,"Berlin, Germany",Healthcare,Entry Level,15,High School,Freelance,Hybrid,141552,$120K–$180K,"Dl, Aws, Data Visualization",4.5,500,On Hold,2025-08-09,2025-08,2025,Unknown
JOB6482,Cybersecurity Analyst,Apple,"New York, NY",Automotive,Lead/Principal,12,High School,Part-Time,Remote,99606,$80K–$120K,"Pyspark, Deep Learning, Sql, Kubernetes, Node, Javascript, Amazon Web Services",1.4,500,Closed,2025-09-09,2025-09,2025,"Stock Options, Health"
JOB9187,Data Scientist,Uber,"Bangalore, India",Finance,Mid Level,11,Unknown,Full-Time,On-Site,131449,$120K–$180K,,3.7,500,Open,2024-02-27,2024-02,2024,"Health, 401k, Stock"
Unknown,Product Manager,Google,"Austin, TX",Technology,Mid Level,11,Master's,Full-Time,Hybrid,36138,< $50K,"Machine Learning, Linux",3.6,500,Open,2025-09-17,2025-09,2025,Unknown
Unknown,ML Engineer,IBM,"Bangalore, India",Finance,Mid Level,11,Bachelor's,Contract,On-Site,41020,< $50K,"Tableau, Java, Gcp",3.7,500,Open,2024-10-28,2024-10,2024,Health+Dental
JOB8639,Software Engineer,Uber,"Chicago, IL",Healthcare,Director,0,Bootcamp,Contract,Remote,140432,$120K–$180K,"Js, Azure, Deep Learning, Aws",3.7,500,Open,2025-05-04,2025-05,2025,"Stock Options, Health"
Unknown,Data Engineer,Unknown,"New York, NY",Unknown,Unknown,14,Bootcamp,Full-Time,Remote,97135,$80K–$120K,"Communication, Amazon Web Services, Computer Vision, Microsoft Excel, Python",5.0,1407,Unknown,2025-10-09,2025-10,2025,"401k, Health"
JOB1081,Cloud Architect,Meta,"Seattle, WA",Technology,Unknown,5,Bachelor's,Full-Time,Remote,192533,$180K+,"Azure, Pytorch, R, Etl, Kubernetes, Computer Vision, Javascript, Java",3.7,1003,Closed,2024-11-19,2024-11,2024,"Health, Dental, Vision"
JOB6339,Product Manager,Meta,"London, UK",Healthcare,Unknown,11,Bachelor's,Part-Time,On-Site,74426,$50K–$80K,"Dataviz, Power Bi, Git, Linux",4.8,500,Open,2025-04-26,2025-04,2025,Unknown
JOB5796,Data Analyst,Unknown,"San Francisco, CA",Healthcare,Unknown,16,Unknown,Contract,On-Site,431235,$180K+,"Java, Docker, Tableau, Stats, Google Cloud, Node.Js, Gcp",3.7,500,Unknown,2024-10-21,2024-10,2024,"Health, 401k, Stock"
JOB5384,Unknown,Wipro,"Bangalore, India",Technology,Mid Level,21,Unknown,Part-Time,Unknown,135473,$120K–$180K,"Computer Vision, Tensorflow, Azure, Etl, Collaboration, Sql Server, Power Bi",4.5,500,Open,2024-09-18,2024-09,2024,"Stock Options, Health"
Unknown,Machine Learning Engineer,Accenture,"Seattle, WA",Unknown,Lead/Principal,12,Unknown,Full-Time,Remote,105823,$80K–$120K,"Python, Tableau",3.7,500,Open,2024-04-27,2024-04,2024,"Stock Options, Health"
JOB9274,Data Analyst,Oracle,"Bangalore, India",Unknown,Manager,24,Bootcamp,Full-Time,Unknown,117766,$80K–$120K,"Pytorch, Data Viz, K8S, Apache Spark, Powerbi, Tableau",4.8,500,Closed,2025-02-05,2025-02,2025,"Health, 401k, Stock"
JOB1129,Data Analyst,Airbnb,"Berlin, Germany",Unknown,Entry Level,13,Master's,Freelance,Remote,157296,$120K–$180K,"Kubernetes, Etl",3.1,500,Open,2025-07-10,2025-07,2025,Unknown
JOB7944,Unknown,TCS,Unknown,Technology,Mid Level,18,Unknown,Unknown,Remote,135473,$120K–$180K,"Deep Learning, Microsoft Excel, Tableau",3.7,100,Open,2025-12-03,2025-12,2025,Unknown
JOB5944,AI Engineer,Salesforce,"Bangalore, India",Healthcare,Entry Level,11,Master's,Part-Time,Unknown,106560,$80K–$120K,"Nlp, Apache Spark, React, Communication",3.7,500,Closed,2025-05-14,2025-05,2025,Unknown
JOB9531,Frontend Developer,Amazon,Remote,Unknown,Unknown,12,Unknown,Full-Time,On-Site,36801,< $50K,"Microsoft Excel, Machine Learning",3.7,500,Closed,2025-01-24,2025-01,2025,"Health, 401k, Stock"
Unknown,Full Stack Developer,Infosys,"Boston, MA",Technology,Entry Level,20,High School,Full-Time,On-Site,75774,$50K–$80K,"Statistical Analysis, Spark, Communication, Unix, Sql, Power Bi, Linux",3.7,500,Open,2025-06-23,2025-06,2025,"Stock Options, Health"
JOB8153,Software Engineer,Airbnb,"Boston, MA",Gaming,Mid Level,11,Bootcamp,Full-Time,On-Site,335628,$180K+,"Stats, Amazon Web Services, Powerbi, Pytorch",3.7,1309,Closed,2025-05-17,2025-05,2025,Unknown
JOB9478,DevOps Engineer,Salesforce,"Chicago, IL",Education,Entry Level,4,Master's,Contract,On-Site,199300,$180K+,"Etl, Js, Powerbi, Kubernetes, Natural Language Processing, Machine Learning, Docker",3.1,500,Closed,2024-12-10,2024-12,2024,Unknown
JOB8259,ML Engineer,Infosys,"Toronto, Canada",Technology,Senior,14,Master's,Unknown,Remote,139214,$120K–$180K,"Scrum, K8S",4.4,315,Closed,2025-03-06,2025-03,2025,"Health, 401k, Stock"
JOB4783,Cybersecurity Analyst,Meta,"Austin, TX",Finance,Director,10,Bachelor's,Full-Time,Unknown,270835,$180K+,"Sql, Communication, Dataviz",3.7,900,On Hold,2024-07-25,2024-07,2024,"Health, 401k, Stock"
JOB9206,Cloud Architect,Microsoft,Unknown,Technology,Director,20,Master's,Full-Time,On-Site,192533,$180K+,"Reactjs, Microsoft Excel, Cv, Etl, Python, Collaboration",3.7,79,Closed,2025-01-01,2025-01,2025,Health+Dental
JOB2936,Product Manager,Apple,"Seattle, WA",Education,Unknown,12,High School,Freelance,Remote,129681,$120K–$180K,"Agile, Computer Vision, Python, K8S, Excel, R",1.0,500,Open,2025-09-26,2025-09,2025,Health+Dental
Unknown,BI Analyst,Salesforce,Remote,Automotive,Unknown,12,PhD,Internship,On-Site,102500,$80K–$120K,"Azure, Computer Vision, Statistics",3.7,500,Open,2024-07-04,2024-07,2024,"401k, Health"
JOB1053,Product Manager,Apple,"London, UK",Technology,Mid Level,11,Bootcamp,Freelance,On-Site,216334,$180K+,"Spark, Deep Learning, Github, Sql, R, Scrum, Pyspark",3.3,500,Open,2025-09-15,2025-09,2025,Unknown
JOB5165,Software Engineer,Google,"Bangalore, India",Education,Lead/Principal,12,Bachelor's,Contract,Hybrid,42889,< $50K,"Agile, Pyspark, Tableau, Natural Language Processing, Nlp",3.7,775,Open,2025-07-20,2025-07,2025,"Health, 401k, Stock"
JOB5916,BI Analyst,Oracle,Unknown,Technology,Mid Level,3,PhD,Full-Time,Unknown,119793,$80K–$120K,"Node, Javascript, Dl",4.5,500,Open,2025-12-10,2025-12,2025,Health+Dental
Unknown,AI Engineer,Infosys,"Boston, MA",E-Commerce/Retail,Senior,12,Master's,Unknown,On-Site,157328,$120K–$180K,"Aws, Sql Server, Scrum",3.7,500,On Hold,2024-10-02,2024-10,2024,"PTO, Remote"
JOB6240,Product Manager,Salesforce,Remote,E-Commerce/Retail,Entry Level,13,Master's,Freelance,Hybrid,85892,$80K–$120K,"K8S, Cv, Pyspark, Gcp, Ms Excel, Scrum",3.7,100,Open,2025-09-07,2025-09,2025,Unknown
JOB5408,Unknown,Amazon,"New York, NY",Technology,Unknown,12,Master's,Full-Time,On-Site,278005,$180K+,"Tableau, Js",3.5,500,Closed,2025-11-19,2025-11,2025,"Health, 401k, Stock"
JOB3467,Cloud Architect,IBM,Remote,Consulting,Manager,11,PhD,Freelance,Remote,126967,$120K–$180K,"K8S, Pytorch, Nlp, Dl",3.7,489,Closed,2024-11-02,2024-11,2024,Unknown
Unknown,BI Analyst,Meta,"New York, NY",Technology,Mid Level,11,Associate's,Internship,Remote,108426,$80K–$120K,"Git, Nlp, Aws, Agile",3.7,500,Open,2025-04-16,2025-04,2025,Unknown
JOB4069,AI Engineer,Unknown,Unknown,Consulting,Senior,0,PhD,Full-Time,On-Site,110401,$80K–$120K,"Node, K8S",3.7,500,Closed,2025-06-22,2025-06,2025,Unknown
JOB4625,Product Manager,Google,"Berlin, Germany",Telecommunications,Executive,13,Master's,Part-Time,Remote,129681,$120K–$180K,"Sql, Tableau, Cv, Js, Pytorch, Linux",3.7,1379,On Hold,2025-12-15,2025-12,2025,Unknown
