job_id,job_title,company_name,location,salary,currency,experience_level,years_of_exp,education,employment_type,industry,skills,remote_work,job_posted_date,company_rating,applications,job_description,benefits,hiring_status
,Cloud architect,accenture,Chicago,,GBP,Entry Level,-3,PHD,Gig,Tech,R Programming / statistics / nodejs / data pipeline / Statistical Analysis / Python / Deep Learning / java,Hybrid,21.3.2025,N/A,500+,ULNOqVAwctxARyCRVxtJKZUjUeujYeifhhkYbwKXzwNbkbQSBrEIPzJCDyEVqPmtpShpYGiCjjLVQig ExtkLJZhxZCgbX,"401k, Health",filled
JOB2493,Data engineer,NETFLIX,new york,,INR,DIRECTOR,11,Bachelors,,FINANCE,MS Excel / javascript / TensorFlow / Unix / nodejs / statistics / Microsoft Excel,1,3/6/2025,8.6,-48,BGdKJQzHyYiowbSfXnbnJYaqhhrRRJLARpCMDkO pl,"PTO, Remote",Open
JOB8223,Product Manager,apple,bangalore,-4312,EUR,MANAGER,,Bachelors,FULL TIME,Telco,"Linux, powerbi, Node, GIT",NO,7/14/2025,3,,PIIXMrSWlHtVX beKgcQzmmRNArjCQDlDOqTCITauZOURPjwfbHwvsBErOInLnmcmiOFsmXnuPqFTlZ,"Stock Options, Health",
JOB4404,Frontend developer,MICROSOFT,New York,90600,USD,director,,Master's,FREELANCE,,,yes,3.4.2024,excellent,997,ABuJPMjaKbRrCpjRvnveMTOsedVJmBHASHCSwAqfHxvcPAQNEGyfVKtTjqNnuVrKXFMDZZkqumaRiULeIAdeoBbOC,"PTO, Remote",
JOB4942,Fullstack Developer,ORACLE,"Chicago, IL",132424,USD,Mid Level,,,Full Time,healthcare,azure;Data Pipeline;docker;PYTORCH;GitHub;Communication;Python,Hybrid,01-04-2025,0,621, EOYtfRALIehNtBjCWqpHpuKBUClETCjFIpyUllvmTpcyNZiOmkVqcRpUAE,Health+Dental,Filled
JOB7240,ML Engineer,amazon,toronto,252554,USD,VP,,doctorate,Full Time,EdTech,"['ETL', 'DOCKER', 'TensorFlow', 'agile', 'Spark', 'Kubernetes']",no,2025-01-07,,100+,svsKGEICZprBPxeGyYUHXwGvWesqILGuVPXNBxiTgmnNNlvfXzcO,"Health, 401k, Stock",active
JOB3323,ml engineer,ibm,,0,inr,SENIOR,21,doctorate,,Health Tech,,hybrid,10/11/2025,4.5/5,777,,None,Filled
JOB3241,Frontend developer,Apple,"seattle, wa",,,entry level,13,12th,freelance,MedTech,Node;scrum;powerbi;R,True,10.7.2025,1.9,,CljKtkCWgJgxnnmGPbjZBDwgnHyfmADNKncKbhZiasKoenCNCdDmzEy TXZH,Health+Dental,filled
JOB7849,SWE,Airbnb,"Toronto, Canada",$0,GBP,director,,bachelor,,finance,Kubernetes;data pipeline;docker;JAVA;react;React;deep learning;tensorflow,Onsite,11.8.2025,2.2,,,None,closed
,,,,,,,,,,,,,,,,,,
JOB9941,Data Scientist,WIPRO,WFH,"$167,545",usd,mid,79,PhD,Contractor,EdTech,Agile | AGILE | statistics,1,2025-10-26,7.6,,seZhqnbWDEennuEQkRjeWdWZTIEVww,"401k, Health",On Hold
JOB5412,Fullstack Developer,,Seattle,,,principal,14,,contractor,technology,PYTORCH | JavaScript | GCP | LINUX | Unix | Python | Statistical Analysis,1,11/9/2025,4.5/5,1169,,Health+Dental,active
JOB9809,Software engineer,Apple Inc,"Hyderabad, India",,USD,,15,Doctorate,FULL TIME,IT,"pytorch, DOCKER",0,5/7/2025,1.4,,yziWeKwlHMLjljvVoSXKYLymiFybIPjXrEoXjZV HQUUMSzPnD zistoBatKfCxpIPZng,N/A,closed
JOB2491,Backend Developer,,WFH,47240,EUR,MANAGER,,Bachelors,Contractor,,Docker;Azure,,5/20/2025,N/A,,,Health+Dental,closed
JOB8435,Cloud architect,netflix,london,426259,USD,MID,54,B.S.,INTERNSHIP,Banking,ReactJS / Kubernetes / stats / Unix / Java / pytorch / Node.js / Git,hybrid,3.9.2025,excellent,-20,WGcWxRPTtkNIpqDDWwrrTYfwD RoQNgITpFkKVYwjDJhzriJviTVjPxcMvyXJxUXqpqwbqlJehoJmQJmz aMfGmonWmhHn Ky lW,None,filled
JOB8504,AI engineer,AWS,chicago,"$275,316",INR,executive,13 years,Boot Camp,full-time,Management Consulting,"sql, React, R Programming",True,10/23/2025,7.3,127,LRnSgRIOcQyoZH FTHpcYHQeNUOBzkIVtgmXqtUpHXWgvcBQ ZPL,"Health, Dental, Vision",on hold
JOB5734,Machine Learning Engineer,Googl,san francisco,218586,GBP,Mid-Level,9 years,bachelor,FREELANCE,Auto Tech,,Maybe,15.10.2025,4.5/5,,,"401k, Health",
JOB1902,,Facebook,"Seattle, WA",70932,USD,executive,18,bootcamp,Contractor,finance,SQL Server | LINUX,,16.5.2024,4.2,100+,,"Stock Options, Health",Filled
JOB4796,,,New York,62887,USD,Principal,24,,contractor,EV,"['Git', 'Node.js', 'LINUX', 'spark', 'PYTHON', 'ETL', 'Statistical Analysis']",,26.12.2024,N/A,many,wjXwfiwjjbpENzDCN WwyQx VPYdnOuCZI rRqTXfoOIdxIbqdmMgCuZRevZpqNuyTKvWtwqjllni,,closed
JOB1292,data scientist,Oracle,NYC,$0,INR,MID,-1,MSc,PART TIME,fintech,"GitHub, data pipeline, JavaScript",True,3.9.2025,8.3,1359,,"401k, Health",Filled
,data engineer,salesforce,,53207,usd,,,Boot Camp,freelance,telecom,"['GitHub', 'AGILE', 'docker', 'power bi', 'AZURE', 'nodejs']",no,04/25/2025,2.9,944,wTICpJjJ RhutYvujUEerkGFVirFJHaxphTbozOvF dxGzDDFqKnsGEvdAQQSfypyYsvEQfuPCoqPiHQUrjS ihyvpFdSjC,N/A,CLOSED
JOB4360,ML Engineer,uber,"Toronto, Canada",47094,usd,mid,19yrs,Masters,,Auto Tech,nodejs | sql | Communication | Tensorflow | power bi | excel,onsite,07/04/2025,8.3,,WTlBzCBsRBMZDGvICOPZyKcWEI,,
JOB1284,Cloud architect,Amazon,Work from Home,30465,inr,Sr.,-4,Doctorate,,media,TABLEAU | PowerBI | scrum | SQL | nodejs | PYTHON,True,,4.5/5,-21,iNPtGyOiCCCOFeJRFYRseJrE,N/A,
JOB1041,DevOps Engineer,UBER,,81363k,inr,Manager,-5,high school,Gig,Technology,"r, JS, node.js, Python, Node.js",Maybe,18.7.2025,N/A,100+,,"401k, Health",CLOSED
JOB1776,Business Intelligence Analyst,NETFLIX,NYC,297396,USD,,54,Associate,contractor,CONSULTING,"['Apache Spark', 'tableau', 'PowerBI', 'excel', 'MS Excel']",Maybe,2025-11-26,2.1,100+,ukwpVHFtSsv SdCqxupZJbhVcrmYpKRyELtDpxuKDLzEHlByxsKZAzVExSbTQJyutKOmRIgyolkH DMbVBfD,N/A,OPEN
JOB7721,Frontend developer,Microsoft,LONDON,,EUR,senior,51,Ph.D,freelance,Ed-Tech,Kubernetes / aws / scrum,Remote,2024-04-06,9.2,many,TeFTVvtIeXMhfMXBRYXnUmgQrEu,None,Filled
JOB5050,,WIPRO,"Boston, MA",-2223,USD,Sr,-1,,Part-time,ecommerce,Tensorflow;Git;GCP;tableau;excel;communication,onsite,6.7.2025,3.6,,JuQCMvTkXbSnhlk  syzsmMjHcTyaVjdPDRKWMQyQuQownnqgLXOnQyEFaJWvpJCtLGSmMZsI,"401k, Health",open
JOB1330,Backend developer,MicroSoft,"Toronto, Canada",481646,,Mid Level,14yrs,PHD,full-time,Auto Tech,,Remote,11.7.2024,,1102,,,closed
JOB6061,Machine Learning Engineer,Airbnb,,-1519,EUR,Executive,18 years,PHD,freelance,edtech,k8s;LINUX;statistics;Microsoft Excel;Statistics,YES,20-12-2025,1.6,many,oXHfiwYVqOjNfQjyLEKONLpPgfLDlqyYrMPnXlnEPWLCtujZwdafDJmGoqOLizGXJUCgvaTZOTTozeevzLuiqYLtSLKpQxbeoD,"PTO, Remote",OPEN
JOB9711,cloud architect,I.B.M,"Hyderabad, India",126346,,,0yrs,Bachelors,Full-time,,R Programming;Git;r;linux,1,2024-01-08,excellent,many,HQDUK VwObJVGqIttCQdNHyZiTbDgBA gJKnaGwCAOPCFGekXgvjZDy,"401k, Health",filled
JOB8453,Data analyst,AMAZON,"austin, tx",33271k,,entry level,16 years,Master's,PT,entertainment,GCP / Google Cloud / Apache Spark / data pipeline / Java / Amazon Web Services / JavaScript / spark,Yes,12-10-2025,6.9,500+,k   euhlCOAWKpedDsXl,"401k, Health",Filled
JOB2492,Fullstack Developer,tcs,"SF, CA",-2905,USD,,2yrs,high school,Part Time,Tech,"['js', 'spark', 'AGILE']",True,09/10/2025,N/A,307,kliCztvA glWvroyLfeBgM STYYJBFdMaMg gpvnLefEAdEtqMqWlMOBCIrLm JZDSMycDVHsjXiNMDbZOvEFGJvb,,Filled
,SWE,UBER,BOSTON,,GBP,DIRECTOR,6,M.S.,fulltime,banking,pytorch;Spark;JavaScript;NLP;Data Visualization;statistics,Maybe,6/27/2025,,many,,,Open
JOB3261,ai engineer,google,New York,-1792,USD,Sr,21,Master's,Freelance,technology,,1,2025-02-25,0,100+,FNnQMYmxDFUYvlcDMgMAQnBBRCOSr,"401k, Health",on hold
JOB5294,Data Scientist,Oracle,,374110,usd,Principal,-3,Master's,Intern,HEALTHCARE,,YES,7/28/2025,1,,,"Health, 401k, Stock",
JOB1779,,NETFLIX,,59484,$,Mid Level,,PhD,Full Time,E-Commerce,R / Excel / java / ETL / Amazon Web Services / js / Collaboration,YES,8/3/2025,excellent,500+,,,
,AI Engineer,,BERLIN,183284,,Mgr,0,High School,CONTRACT,,Computer Vision / computer vision,NO,5/7/2024,3,100+,wsXUKJaNDMTDcjMHTFBj EgjgIQohHJAeciT,"401k, Health",on hold
JOB3523,cloud architect,salesforce,san francisco,330743,USD,intermediate,,BACHELOR,,fintech,node.js;excel;machine learning;TABLEAU;ML;React,Maybe,02/04/2025,excellent,-45,ybpSJWLJeiqf ecaWPVR,"PTO, Remote",
JOB4930,Data Engineer,Microsoft,"Berlin, Germany","$77,400",usd,Sr,11 years,BACHELOR,Intern,gaming,"spark, communication, Power BI, deep learning, Unix, stats",True,27.12.2024,,500+,,,CLOSED
JOB7765,data analyst,Infosys,London,47046,$,principal,,doctorate,PART TIME,information technology,java / LINUX / React / PowerBI / Microsoft Excel,,9/7/2024,,many,lmWMktjHfdWeK yTJkzLLKUNaBASPdXAAHKILFdU UYHWjGjgOfrcdybvNFcIyfWCCTPWIeU Mtbq rNeyqBp,"Stock Options, Health",
JOB4405,ML engineer,UBER,Toronto,139214,USD,,12,BACHELOR,FT,Finance,"Communication, SQL, Data Visualization, LINUX, nlp, agile",Maybe,2025-04-05,0,,LuR PwCjYSPUlEwMYYRrhEuqYdKBlV,"Health, Dental, Vision",filled
,Data Scientist,Infosys,chicago,0,USD,Mgr,-5,,INTERNSHIP,entertainment,"['python', 'NLP', 'linux']",onsite,22.6.2025,5.0,,jnvpuxAYfWpKcQWIoJWKKWhzuJXGkEpwUYNunbDJJKDMTKStqodNcIXyiwYAHIxGqycZolSwoJF ,,Closed
JOB6175,cloud architect,Uber,NYC,205403,inr,Manager,6,MASTER,freelance,,scrum | Python | Computer Vision | Linux | PyTorch | Java | Excel,onsite,2025-05-19,0,915,PQGKcuHQRyFentGMXvIpZdPjAaTXBkPBLGJtIZeovJvkaLWDMDEsRlZyvajADAsgBnCQnxt,"PTO, Remote",active
JOB5551,devops engineer,Airbnb,Work from Home,,usd,lead,,,Full-time,Banking,"['ReactJS', 'pytorch', 'PYTHON', 'node.js', 'R']",hybrid,6/15/2025,N/A,-13,,"PTO, Remote",
,,,,,,,,,,,,,,,,,,
JOB6731,data analyst,netflix,"Chicago, IL",116564,usd,C-Level,63,MSc,,Gaming,Machine Learning / GitHub,False,22.9.2025,3.5,1336,vJuuHjwJNBhZAHPuKhtHAquVXwsPpB,N/A,CLOSED
JOB7474,SWE,Infosys,"London, UK",$0,,Manager,65,,intern,EV,pytorch / azure / GIT,Maybe,2025-02-25,7.2,,,,On Hold
JOB4100,DevOps Engineer,APPLE,WFH,-2019,USD,Mid Level,16,B.S.,contractor,Video Games,"js, tableau, Spark, excel",Hybrid,05/11/2024,N/A,,sEHXSbTzlWju RYpJTKEuGLmDDMNbaW LVXKJqqTAhxdfMKTyZJjMxrGhPNHXCEb jKfcHgOchNFjsSrsZilccOwXIlLQifuxC,"401k, Health",open
JOB5142,Data Scientist,,Seattle,244580,inr,senior,18,,CONTRACT,Auto Tech,,Hybrid,2024-06-07,3.0,100+,UkSVDMsFVAqXjndsrYZNSimQfWomWnZhYyoIpmMhLsywWAIoLpTzynHuoGhTNBJpDaxVIdbEDpjAEnungAwAYyPZTjBds,,
JOB7391,software engineer,INFOSYS,BERLIN,482054,USD,senior,-1,Ph.D,freelance,Consulting,NLP | SQL Server | java,Yes,2024-06-02,excellent,500+,bhIyWcLgjcqQyjFRfAQlQwR JrZEh,None,active
JOB5187,DA,I.B.M,chicago,-3571,EUR,Senior,0,B.S.,FT,MEDIA,Kubernetes;data pipeline;gcp;agile,No,05/21/2024,4.7,1163,WRjSXBaGMMDTDoPJtohQvCcwdsuKZThKwjwtgJIgQmITZhoKpXKyVEoUoflmcLppMaMzaNKuiAWcMWOfwpcOPhsNv,"Health, 401k, Stock",Open
JOB5559,Data analyst,Google,REMOTE,59116,,MID,66,Ph.D,INTERNSHIP,Auto Tech,,,03/10/2025,1,,,"Health, 401k, Stock",OPEN
JOB2815,data engineer,meta,Seattle,-2789,,DIRECTOR,82,M.S.,PT,,"['LINUX', 'excel', 'AZURE', 'Amazon Web Services', 'linux', 'Azure', 'Agile']",0,2025-05-24,4.3,-23,,"PTO, Remote",CLOSED
JOB1449,Frontend developer,,london,125942,usd,senior,72,master,CONTRACT,EdTech,DL;NLP;scrum;Scrum,hybrid,,0,many,qgJPqvZbTjqJdoXjAdypqFvwWEZkIfldLJEHuiEFSkubouhgDwMAvbDMSsgLXmBAjAZ USdZ qVJTzk,"Stock Options, Health",Closed
JOB8719,Data Scientist,,Bengaluru,47444,EUR,entry level,62,M.S.,contractor,finance,k8s;aws;Kubernetes;pytorch,,20.9.2025,7.4,many,SwVpZnzkxtiKnNgdosKQVCBfGGnYbNN,,
,bi analyst,,Work from Home,0,inr,Mid,,Bachelor's,Full Time,Tech,Azure / PYTORCH / git / data pipeline / PowerBI / GitHub / Scrum / MS Excel,YES,21-06-2025,6.3,668,,Health+Dental,Open
,,,,,,,,,,,,,,,,,,
JOB3317,Data engineer,MicroSoft,AUSTIN,"$-1,987",USD,Entry Level,-3,BS,,Media,GCP | spark | deep learning | r | aws | node.js | Communication,Remote,1/6/2024,,500+,gbhSCygJbiDskNsqiqQpBmjssPuUdrpykaIpqCKxReAkIsnnpyto,"Health, 401k, Stock",active
JOB6776,backend developer,Google,BOSTON,,INR,C-Level,56,MS,,technology,"['sql', 'DL']",onsite,5.4.2025,7.9,,hXKLyuvWmULQPjLfBhlsuEXCohkpdSTQhOEilWnDafatqIYCudlyPiuAIxN PkrKWSbfBvs,"Health, Dental, Vision",OPEN
JOB3285,software engineer,Oracle,"London, UK",286683,GBP,entry,75,High School,FULL TIME,Telecommunications,"['git', 'gcp', 'data viz', 'ReactJS', 'Statistics']",onsite,28-07-2025,0,500+,eIUPiWjiwxBKaLkIeuRiDHJ,"Health, 401k, Stock",on hold
,Full Stack Developer,Wipro,,-4402,$,Senior,,Bootcamp,PT,Auto Tech,kubernetes | Data Visualization | scrum | K8s | stats | data viz | DataViz,No,09/14/2025,4.5/5,,,,Active
JOB6860,data scientist,ibm,CHICAGO,-1354,inr,,,bachelor,fulltime,Telco,Computer Vision;docker,Maybe,1/14/2025,excellent,657,,None,
JOB3939,,UBER,"SF, CA",109664,USD,CTO,23,associate,PT,tech,"spark, docker, deep learning, nlp, Natural Language Processing, tensorflow, sql",,9/14/2024,N/A,1408,ocSoNBltSoCWvHeMwZYKo emEbFIOcuylhoZlenYBUzLyVwSAAtqAcQEngtGB,"Health, 401k, Stock",
,Security Analyst,Netflix,hyderabad,68486,$,manager,11 years,Bachelor's,internship,finance,nodejs / JS / K8s,Yes,12/08/2024,2,500+,,"401k, Health",Open
,Product Manager,AMAZON,Bengaluru,"$171,287",$,intermediate,96,Ph.D,fulltime,,"['GIT', 'Statistical Analysis', 'ML', 'GitHub', 'spark', 'stats']",0,14-03-2025,,1038,ESOCxLNEiEoGPkzHA RNvALFUWrvwxAObeg,None,open
,,INFOSYS,remote,35909,,C-Level,-1,Doctorate,Internship,FinTech,SQL Server | ETL | CV | kubernetes | gcp | Excel | scrum | Communication,Yes,01-01-2024,,-41,lyGPPXVOkLVUMvzIrvsULItpqlQKiWnfnFZEJPeLMUZZwUfVz,,closed
JOB3738,ML Engineer,UBER,new york,,,,67,12th,Full Time,FinTech,Microsoft Excel / DL / k8s / Data Visualization / Scrum,Onsite,24-10-2025,2,814,,"Stock Options, Health",Active
JOB6882,Data Scientist,SalesForce,"Seattle, WA",0,,DIRECTOR,5,M.S.,,TELECOM,"['PYTORCH', 'AZURE', 'TABLEAU', 'ReactJS']",False,8/19/2025,N/A,86,lwNInUbnTeTgRlNKTGwGPRQECFiZpEYBVRhNvdoILhhrnSuhHHteQOvNKUyzEUSeZHKTQvZRArpDgTPVOcHSaXiy ,"Stock Options, Health",Closed
JOB6325,software engineer,Wipro,London,308948,USD,Junior,,Bachelors,,,"['power bi', 'DataViz', 'AGILE']",Remote,3/27/2024,excellent,,FoNFbMACpaN NSbcaLfYSFiOVPYUmbnEblVskkaiscQWQs,,open
JOB2838,Fullstack Developer,SalesForce,CHICAGO,69090 USD,EUR,VP,,Boot Camp,PT,Video Games,java;power bi,,18.7.2025,,100+,MBKkvWAUTkAYFtZpKWrvby,,active
JOB4027,SWE,,SEATTLE,38301,EUR,Lead,67,master,,,deep learning | data viz,True,8/3/2025,,-35,WLfdEnxVhHXJoLVEBXAxSPPCaYRzEXtKv,Health+Dental,CLOSED
JOB7765,DevOps engineer,Facebook,Berlin,-1863,usd,Entry Level,15yrs,HS,freelance,healthcare,DL;AWS;Data Visualization;aws,hybrid,09-08-2025,4.5/5,500+,WHYwWTrofIuONMFkrKjDJSaffxlpkbeX,None,on hold
JOB6482,Cybersecurity Analyst,apple,new york,-4813,INR,Lead,,HS,part-time,Electric Vehicles,PySpark | Deep Learning | sql | kubernetes | Node | javascript | Amazon Web Services,Remote,9/9/2025,1.4,-50,XBTTTKSDBWRcpckNnrPZABaPYCTKrmeA,"Stock Options, Health",Filled
JOB9187,DATA SCIENTIST,UBER,"Bangalore, India",131449,EUR,mid level,,,full-time,banking,,NO,02/27/2024,excellent,,,"Health, 401k, Stock",OPEN
,product manager,Google,"Austin, TX",36138,inr,Mid-Level,94,Masters,FULL TIME,technology,"Machine Learning, linux",Hybrid,17.9.2025,3.6,-48,mwwObZWh DHkCdSRfftfWZTFQqzbXHLEJYSvWJ,None,open
,ML Engineer,IBM,"Bangalore, India",41020,usd,mid level,,bachelor,contractor,FINANCE,"['tableau', 'java', 'Java', 'gcp']",False,10/28/2024,0,many,G sjyxZJD iHUNykLhqwBxTdqQPsZddYCMxlQVrjqfhGBFBlShnBkpNhKW,Health+Dental,OPEN
JOB8639,Software engineer,UBER,CHICAGO,140432,GBP,Director,0,Boot Camp,CONTRACT,media,JS;AZURE;deep learning;AWS,yes,4.5.2025,,-29,,"Stock Options, Health",active
,Data Engineer,,New York,97135,GBP,,14yrs,coding bootcamp,Full-time,,communication;Amazon Web Services;Computer Vision;Microsoft Excel;python,Remote,09-10-2025,5,1407,Yq FboPGwbujGRxanGi mWNoPRKPKRdMfyTaHYolgUBTOWfInO,"401k, Health",
JOB1081,Cloud Architect,META,"Seattle, WA",,INR,,5,BACHELOR,FT,Tech,"['azure', 'PyTorch', 'R', 'ETL', 'Kubernetes', 'computer vision', 'JavaScript', 'Java']",Remote,11/19/2024,0,1003,dbLIwtjsLJLdNsFax Rh,"Health, Dental, Vision",closed
JOB6339,Product Manager,meta,London,74426,GBP,,11 years,BS,part-time,MEDIA,"['DataViz', 'Power BI', 'GIT', 'Linux']",0,26.4.2025,4.8,many,,,Active
JOB5796,DA,,San Francisco,431235,inr,,16 years,,Contractor,healthcare,Java | DOCKER | TABLEAU | stats | Google Cloud | node.js | GCP,No,2024-10-21,,many,tjsTfEuqAeoOVdoOHgaHawgKDltwuM,"Health, 401k, Stock",
JOB5384,,Wipro,"Bangalore, India",0,usd,mid level,21,,Part-time,edtech,"['Computer Vision', 'Tensorflow', 'Azure', 'ETL', 'Collaboration', 'SQL Server', 'power bi']",,09/18/2024,4.5/5,,MymtrsUfgxueLiEUZCvUkTcPmTBjhdhrocDYbGaxQykYIDWRCkVVN HxrppYZTOPmbawlR,"Stock Options, Health",Open
,Machine Learning Engineer,Accenture,"seattle, wa",,inr,principal,,,full-time,,"Python, Tableau",YES,27.4.2024,N/A,-43,rWZULeXAezFQluumIXqjdnvSEoakKGMJF bltsKJfkLNgKYrxfHcQPntADydLOrpTpCdsQFAAVWWdgFxvEnMvsvsA Y,"Stock Options, Health",open
JOB9274,data analyst,oracle,bangalore,117766 USD,usd,manager,24,bootcamp,Full Time,,"PYTORCH, data viz, k8s, Apache Spark, PowerBI, TABLEAU, PyTorch",,5.2.2025,9.6,-45,rRrGfMdWYWHNxOLMMFRAiaFJyqjMoOmAcBB,"Health, 401k, Stock",Filled
JOB1129,Data analyst,airbnb,"Berlin, Germany",157296,EUR,junior,,Masters,Gig,,"kubernetes, ETL",True,07/10/2025,3.1,,,None,OPEN
JOB7944,,TCS,,-1819,usd,Mid,18yrs,,,MedTech,Deep Learning / Microsoft Excel / tableau,YES,3.12.2025,N/A,100+,,,Open
JOB5944,ai engineer,salesforce,Bengaluru,,GBP,Entry,11,MS,PART TIME,HEALTHCARE,"NLP, Apache Spark, react, Communication",,2025-05-14,,-3,fVCpmzSSwjPDPCRkPHXUeGyJHzuvYOPoTeVpjcMoBYViYADSDpN,,CLOSED
JOB9531,Frontend developer,amazon,Remote,"$36,801",USD,,94,,Full Time,,"Microsoft Excel, Machine Learning",False,01/24/2025,excellent,,PCoxLMfWRKgesVNfkfoiCOyLoQnmxf,"Health, 401k, Stock",Filled
,Full Stack Developer,infosys,"Boston, MA",75774,GBP,junior,20 years,HS,FULL TIME,fintech,Statistical Analysis;Spark;Communication;Unix;sql;Power BI;Linux,No,23.6.2025,N/A,,,"Stock Options, Health",active
JOB8153,SWE,AirBnB,"Boston, MA",335628,inr,Mid Level,91,coding bootcamp,FULL TIME,Gaming,stats | Amazon Web Services | powerbi | PyTorch,False,2025-05-17,excellent,1309,,,closed
JOB9478,devops engineer,salesforce,Chicago,199300 USD,USD,entry,4yrs,MSc,contractor,Education,ETL;JS;PowerBI;Kubernetes;Natural Language Processing;Machine Learning;docker,No,12/10/2024,3.1,,TtLMYuNIdAOWblatsFDGvaFTObZg EiRyHQoeuihHBY MJsCNHSHPihaSYZebmPrptp,N/A,closed
JOB8259,ML engineer,INFOSYS,"Toronto, Canada",-3410,INR,sr,14,MSc,,Ed-Tech,scrum | K8s,True,6.3.2025,4.4,315,GJzEsPqljdAwCellrtlNC R aJxVGGYKrWYuCoWRtQxcVkBYiYCadJOTwfCLZPIXNiyrecQDEmnuHwaJCHGOFLdXfPpeOxuJzChu,"Health, 401k, Stock",closed
JOB4783,Cybersecurity Analyst,META,"austin, tx","$270,835",USD,director,61,bachelor,fulltime,banking,"['SQL', 'communication', 'DataViz']",,07/25/2024,0,900,TVwPGRMuXECHLcfyUUnC cuOZkxUPpipWKVyIeAjFVCurbyVVUerILiMeLHeL,"Health, 401k, Stock",on hold
JOB9206,cloud architect,microsoft,,,GBP,DIRECTOR,20yrs,M.S.,FULL TIME,edtech,ReactJS / Microsoft Excel / CV / ETL / python / Collaboration,0,,excellent,79,VopAKJYzZyIIYStbcrOwfbLfxzRYgLXLauEKz,Health+Dental,Filled
